Date                     Para1     Para2     Para3     Para4     Para5       Neurons  Details

Currently best:
targets(1:3) or targets(1:6) with rand(size(targets(4:5,:)))*10^-10
_______________________________________________________________________________________________________________________

2018.01.07-15:46:53:     1.7317    2.6014    6.8207    1.6118    4.2321      - 24     LM, MSE, sgdm, Batchs.,64

2018.01.07-15:50:24:     3.7356    1.4953    4.7487    1.626     2.8106      - 5      LM, MSE, sgdm, Batchs.,64
2018.01.07-15:50:56:     2.001     1.2105    5.6353    1.5229    3.19        - 12     LM, MSE, sgdm, Batchs.,64
2018.01.07-15:52:40:     1.9804    2.3907    5.2742    1.583     4.1277      - 24     LM, MSE, sgdm, Batchs.,64
2018.01.07-16:00:06:     1.9471    2.5772    4.9147    1.5727    3.3226      - 48     LM, MSE, sgdm, Batchs.,64


2018.01.07-16:25:40:     3.4456    1.3634    3.3351    1.6924    3.3015      - 5      LM, MSE, sgdm, Batchs.,64
2018.01.07-16:33:31:     2.2051    2.2655    6.0746    1.7031    3.2924      - 12   5 LM, MSE, sgdm, Batchs.,64
2018.01.08-08:30:03:     2.2633    1.713     7.1757    1.6448    3.2855      - 12   5 LM, MSE, sgdm, Batchs.,64
2018.01.08-08:44:56:     3.6889    1.3323    6.8207    1.5596    3.2927      - 12   5 LM, MSE, sgdm, Batchs.,64
2018.01.09-08:25:09:     3.3004    1.5776    15.6264   1.9589    3.8191      - 12   5 LM, MSE, sgdm, Batchs.,64

Do we really need the last 2 parameters?
2018.01.09-09:57:49:     1.2009    0.80852   1.5201    0         0           - 5      LM, MSE, sgdm, Batchs.,64 targets(1:3,%:)
2018.01.09-09:09:54:     0.944     0.61502   1.4397    0         0           - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:5,%:), no mixt - targets 4&5
2018.01.09-10:00:23:     0.91626   0.72551   1.453     0         0           - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:3,%:)
2018.01.10-08:54:25:     0.89806   0.70845   1.4138    0         0           - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:3,%:)
2018.01.10-09:17:01:     0.89806   0.70845   1.4138    0         0           - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:3,%:)
2018.01.10-08:43:54:     0.88175   0.56337   3.9708    0         0           - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:5,%:)
2018.01.10-09:08:35:     0.88175   0.56337   3.9708    0         0           - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:5,%:), no mixt - targets 4&5
2018.01.10-09:29:37:     1.1996    1.6096    1.9641    0         0           - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:5,%:), no mixt - targets 4&5
2018.01.10-09:27:08:     0.95402   0.71371   1.4558    2.1706e-10 9.6182e-11 - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:5,%:), rand(size(targets(4:5,:)))*10^-10
2018.01.10-09:45:13:     0.95474   0.69293   1.3724    2.0164e-10 9.5353e-11 - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:5,%:), rand(size(targets(4:5,:)))*10^-10
Result of 9-10.1.2018 with no mixture subtraction results are a lot better, targets(1:5,:) or 1:3 doesn't really matter - ignored by ml train?

Batch Try:
2018.01.10-10:07:20:     0.93734    0.69671    1.4537    0    0      - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:3,:)
2018.01.11-01:19:16:     0.88175    0.56337    3.9708    0    0      - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:3,:)
2018.01.10-10:09:04:     0.86646    0.55844    1.3218    0    0      - 24  12   5 LM, MSE, sgdm, Batchs.,64 targets(1:3,:)
2018.01.11-02:48:55:     0.8438    0.67686    1.9963    0    0      - 24  12   5 LM, MSE, sgdm, Batchs.,64 targets(1:3,:)
2018.01.11-08:52:48:     0.92424    0.60705    1.4986    0    0      - 48  24  12   5 LM, MSE, sgdm, Batchs.,64 targets(1:3,:)
2018.01.11-09:14:58:     0.94805    1.0972    1.4707    2.0278e-10    9.6696e-11      - 12   5 LM, MSE, sgdm, Batchs.,64 targets(1:5,%:), rand(size(targets(4:5,:)))*10^-10
2018.01.11-09:34:07:     0.95262    0.6988    1.3947    1.9662e-10    9.4791e-11      - 24  12   5 LM, MSE, sgdm, Batchs.,64 5
